doc_id,keyword,difficulty,category,frequency,context
cc_news_0_Daughter Duo is Dancing in The,season,intermediate,other,3,"But for this one season, they're sharing the stage together"
cc_news_0_Daughter Duo is Dancing in The,together,advanced,other,2,"""It's very surreal to be dancing it together,"" says Regina"
cc_news_0_Daughter Duo is Dancing in The,Nutcracker,advanced,other,2,Performing Side-By-Side In The Nutcracker Regina and Melina are not only dancing in the same Nutcrac
cc_news_1_New York City Ballet Announces,Ballet,intermediate,other,3,New York City Ballet Announces Interim Leadership Team The New York City Ballet Board of Directors a
cc_news_1_New York City Ballet Announces,and,basic,other,6,Martins requested a temporary leave from both NYCB and the School of American Ballet last Thursday w
cc_news_1_New York City Ballet Announces,artistic,advanced,other,3,"The team will be responsible for the day-to-day artistic needs of the company including scheduling, "
cc_news_2_Watch Pennsylvania Ballet & Bo,Boston,intermediate,other,4,"But Boston Ballet also decided to get in on the fun—with five Super Bowl wins, they're used to seein"
cc_news_2_Watch Pennsylvania Ballet & Bo,PAB,advanced,technical_term,1,"Dressed in their Eagles green, the PAB dancers performed a fast-paced routine full of fouetté turns,"
cc_news_2_Watch Pennsylvania Ballet & Bo,Pennsylvania,advanced,other,2,Watch Pennsylvania Ballet & Boston Ballet Face Off for the Super Bowl The Philadelphia Eagles and th
cc_news_3_dance shoes,shoes,intermediate,other,3,dance shoes Looking for your next audition shoe
cc_news_3_dance shoes,audition,advanced,other,1,dance shoes Looking for your next audition shoe
cc_news_3_dance shoes,and,intermediate,other,4,Offered in two different styles and either 2
cc_news_4_Rebecca Krohn on Her Retiremen,company,basic,other,8,Was New York City Ballet always your dream company
cc_news_4_Rebecca Krohn on Her Retiremen,favorite,advanced,other,3,Can you think of a favorite moment with the company
cc_news_4_Rebecca Krohn on Her Retiremen,Courtesy,advanced,other,4,""" Photo by Paul Kolnik, Courtesy NYCB"
cc_news_4_Rebecca Krohn on Her Retiremen,Stravinsky,advanced,other,3,"After dancing Stravinsky Violin Concerto with Amar Ramasar on Saturday, Krohn will return to the NYC"
cc_news_5_Roy Kaiser to Become Nevada Ba,Theatre,intermediate,other,3,"Photo by Alexander Iziliaev, Courtesy Nevada Ballet Theatre"
cc_news_5_Roy Kaiser to Become Nevada Ba,company,basic,other,6,The company will be gaining a highly experienced leader
cc_news_5_Roy Kaiser to Become Nevada Ba,Kaiser,basic,other,8,Kaiser will be the fourth artistic director in NBT's 46 year history
cc_news_6_What It's Like Inside NYCB Aft,Martins,intermediate,other,3,Martins' absence has certainly been felt around the theater
cc_news_6_What It's Like Inside NYCB Aft,Balanchine,advanced,other,3,Who would oversee the Balanchine ballets
cc_news_6_What It's Like Inside NYCB Aft,NYCB,advanced,technical_term,1,What It's Like Inside NYCB After Peter Martins New York City Ballet continues its first year without
cc_news_7_Nutcracker Secrets and Surpris,Photo,basic,other,8,"Photo by Paul Kolnik, Courtesy New York City Ballet"
cc_news_7_Nutcracker Secrets and Surpris,that,basic,other,7,Many thought that the story was too light compared to historically based stories
cc_news_7_Nutcracker Secrets and Surpris,Balanchine,advanced,other,9,Balanchine rehearsing the snow scene with NYCB
cc_news_7_Nutcracker Secrets and Surpris,Nutcracker,advanced,other,21,Nutcracker Secrets and Surprises Literary Roots E
cc_news_7_Nutcracker Secrets and Surpris,Courtesy,advanced,other,9,"Owen, Courtesy Dance Magazine Archives"
cc_news_7_Nutcracker Secrets and Surpris,NYCB,advanced,technical_term,3,NYCB's Unity Phelan and Silas Farley in Karinska's Hot Chocolate costumes
cc_news_7_Nutcracker Secrets and Surpris,original,advanced,other,9,"The Sugar Plum Fairy's prince's original name was ""Prince Coqueluche"
cc_news_8_Inside the Beijing Dance Acade,school,basic,other,9,"Pei Yu came to the school at age 10 from Hebei, a province near Beijing"
cc_news_8_Inside the Beijing Dance Acade,dancers,basic,other,8,"""Young dancers often have the urge to overact"
cc_news_8_Inside the Beijing Dance Acade,BDA,advanced,technical_term,17,"BDA's ballet department in a performance of ""La Bayadère"
cc_news_8_Inside the Beijing Dance Acade,professional,advanced,other,9,The professional division's admission procedure is extensive
cc_news_8_Inside the Beijing Dance Acade,students,advanced,other,16,"So far, BDA students have performed in Bournonville ballets including Napoli's Act III, La Ventana a"
cc_news_8_Inside the Beijing Dance Acade,ballet,basic,other,19,"BDA's ballet department in a performance of ""La Bayadère"
cc_news_8_Inside the Beijing Dance Acade,Chinese,basic,other,12,P A men's classical Chinese dance class
cc_news_9_Isabella Boylston and James Wh,Isabella,advanced,other,2,Isabella Boylston and James Whiteside Get Hilariously Candid Though American Ballet Theatre principa
cc_news_9_Isabella Boylston and James Wh,Boylston,advanced,other,4,"Boylston also delves into her experience guesting with the Paris Opéra Ballet, her dream of choreogr"
cc_news_9_Isabella Boylston and James Wh,and,basic,other,10,Isabella Boylston and James Whiteside Get Hilariously Candid Though American Ballet Theatre principa
cc_news_10_Ballet Performances This Week,Ballet,basic,other,12,Ballet Performances This Week What's going on in ballet this week
cc_news_10_Ballet Performances This Week,this,intermediate,other,4,The following video delves into what makes this production stand out
cc_news_10_Ballet Performances This Week,will,intermediate,other,4,The production will feature Bolshoi star Svetlana Zakharova in the title role
cc_news_10_Ballet Performances This Week,with,basic,other,5,"Hamburg Ballet coproduced the full-length ballet with the National Ballet of Canada and the Bolshoi,"
"cc_news_11_Guillaume Côté on NBoC's ""Fram",Frame,basic,other,10,"NBoC's new work, titled Frame by Frame, will run June 1-10 in Toronto"
"cc_news_11_Guillaume Côté on NBoC's ""Fram",his,basic,other,19,Where did the initial spark for this idea come from
"cc_news_11_Guillaume Côté on NBoC's ""Fram",the,basic,other,37,Where did the initial spark for this idea come from
"cc_news_11_Guillaume Côté on NBoC's ""Fram",with,basic,other,11,Were you familiar with McLaren's work before this project
"cc_news_12_Broadway's ""Carousel"" Stars So",City,intermediate,other,3,"Several other veteran Broadway ballet dancers round out the cast, including An American in Paris alu"
"cc_news_12_Broadway's ""Carousel"" Stars So",NYCB,advanced,technical_term,4,"NYCB principal Amar Ramasar is cast as ne'er-do-well sailor Jigger Craigin, while NYCB soloist Britt"
"cc_news_12_Broadway's ""Carousel"" Stars So",Broadway,advanced,other,3,"Several other veteran Broadway ballet dancers round out the cast, including An American in Paris alu"
"cc_news_13_The Joffrey Presents Ekman's """,Joffrey,basic,other,6,""" Photo by Hans Nilsson, Courtesy Joffrey Ballet"
"cc_news_13_The Joffrey Presents Ekman's """,Ekman,basic,other,7,""" Ekman's Midsummer will run April 25–May 6 at the Auditorium Theatre in Chicago"
"cc_news_13_The Joffrey Presents Ekman's """,Midsummer,advanced,other,6,""" Ekman's Midsummer will run April 25–May 6 at the Auditorium Theatre in Chicago"
cc_news_14_Wonderfully Simple Graphic Des,Wonderfully,advanced,other,1,Wonderfully Simple Graphic Design Software DesignWizard Sponsors rebelCon 2017 DesignWizard has join
cc_news_14_Wonderfully Simple Graphic Des,Software,advanced,other,1,Wonderfully Simple Graphic Design Software DesignWizard Sponsors rebelCon 2017 DesignWizard has join
cc_news_14_Wonderfully Simple Graphic Des,DesignWizard,advanced,other,2,Wonderfully Simple Graphic Design Software DesignWizard Sponsors rebelCon 2017 DesignWizard has join
cc_news_15_Bay Community News,BCSO,advanced,technical_term,3,That was when McNeight called the BCSO to report the robbery
cc_news_15_Bay Community News,arrested,advanced,other,6,Three transients have also been arrested for their participation
cc_news_15_Bay Community News,Johnathan,advanced,other,4,"Johnathan Johnson was charged with Robbery with a Weapon, Counterfeiting of an Instrument with Inten"
cc_news_15_Bay Community News,transients,advanced,other,6,Three transients have also been arrested for their participation
cc_news_16_25 Year Old Molests Child Unde,victim,intermediate,other,3,The victim was interviewed at Gulf Coast Children’s Advocacy Center
cc_news_16_25 Year Old Molests Child Unde,Shanard,intermediate,other,2,The victim confided in a family member that Shanard Cameron had molested her
cc_news_16_25 Year Old Molests Child Unde,Cameron,intermediate,other,3,"Cameron, age 25, allegedly took the victim without parental consent to a festival and had sex with h"
cc_news_17_How to install the Trac projec,USER,advanced,technical_term,4,"htdigest ""test"" USER Where USER is the username"
cc_news_17_How to install the Trac projec,SERVER,advanced,technical_term,2,Enable our new site (and restart Apache) with the following commands: sudo a2ensite trac sudo system
cc_news_17_How to install the Trac projec,IP,advanced,technical_term,3,Enable our new site (and restart Apache) with the following commands: sudo a2ensite trac sudo system
cc_news_17_How to install the Trac projec,management,advanced,other,6,SEE: IT project management: 10 ways to stay under budget (free PDF) (TechRepublic) Congratulations Y
cc_news_17_How to install the Trac projec,installation,advanced,other,4,I'll be demonstrating the installation on a Ubuntu Server 16
cc_news_17_How to install the Trac projec,available,advanced,other,3,"Thankfully, there are a lot of tools available to help you with that"
cc_news_18_New Amazon class certifies clo,working,basic,other,5,"SEE: Cloud computing policy (Tech Pro Research) According to the post, once the exam is complete, th"
cc_news_18_New Amazon class certifies clo,Amazon,intermediate,other,3,"Here are the big takeaways: A new class from Amazon, the AWS Certified Security - Specialty Exam, wi"
cc_news_18_New Amazon class certifies clo,ability,intermediate,other,3,"SEE: Cloud computing policy (Tech Pro Research) According to the post, once the exam is complete, th"
cc_news_18_New Amazon class certifies clo,SEE,advanced,technical_term,1,"SEE: Cloud computing policy (Tech Pro Research) According to the post, once the exam is complete, th"
cc_news_18_New Amazon class certifies clo,Certified,advanced,other,2,The AWS Certified Security - Specialty Exam is now available to those who hold either an Associate o
cc_news_18_New Amazon class certifies clo,Security,advanced,other,4,"Additional security trainings on AWS Security Fundamentals, Authentication and Authorization with AW"
cc_news_19_How to set up a Gitstorage app,CE,advanced,technical_term,1,"6 GB (GS-64) Certifications - CE, FCC Processor - H2 quadcore Cortex-A7 with 512 MB RAM Power supply"
cc_news_19_How to set up a Gitstorage app,MSRP,advanced,technical_term,1,"6 GB (GS-64) Certifications - CE, FCC Processor - H2 quadcore Cortex-A7 with 512 MB RAM Power supply"
cc_news_19_How to set up a Gitstorage app,SEE,advanced,technical_term,2,SEE: 10 Terminal commands to speed your work on the Mac (free PDF) (TechRepublic) Smooth sailing And
cc_news_19_How to set up a Gitstorage app,GS,advanced,technical_term,8,"6 GB (GS-64) Certifications - CE, FCC Processor - H2 quadcore Cortex-A7 with 512 MB RAM Power supply"
cc_news_19_How to set up a Gitstorage app,twork,advanced,other,1,Plug the device into your network (you'll need a Cat5 cable)
cc_news_19_How to set up a Gitstorage app,TechRepublic,advanced,other,3,SEE: 10 Terminal commands to speed your work on the Mac (free PDF) (TechRepublic) Smooth sailing And
cc_news_19_How to set up a Gitstorage app,optional,advanced,other,3,Figure A The steps to the setup wizard are: Language selection EULA Name the device Device root CA c
cc_news_20_Qualcomm XR1 chip could bring ,release,basic,other,8,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_20_Qualcomm XR1 chip could bring ,Qualcomm,advanced,other,6,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_20_Qualcomm XR1 chip could bring ,XR,advanced,technical_term,11,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_20_Qualcomm XR1 chip could bring ,AR,advanced,technical_term,7,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_20_Qualcomm XR1 chip could bring ,VR,advanced,technical_term,4,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_20_Qualcomm XR1 chip could bring ,Snapdragon,advanced,other,3,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise Qualcomm's new Snapdragon XR1 "
cc_news_21_Why are companies moving to th,missing,intermediate,other,4,81% simply fear 'missing out' If you've ever wondered why so many companies are making moves toward 
cc_news_21_Why are companies moving to th,companies,advanced,other,4,Why are companies moving to the cloud
cc_news_21_Why are companies moving to th,Commvault,advanced,other,3,"According to recent report from Commvault and CITO Research, 81% of business leaders are embracing t"
