id,text,Combined_Text
0,"午後から雨が心配だったので遠出はせず、『ふれあいロード』を走って来ました！
",午後から雨が心配だったので遠出はせず、『ふれあいロード』を走って来ました！
1,"確実に春が近づいてることを肌で感じることが出来ました 着々と整備されてる圏央道を越えるとお世話になってるボウリング場が見えて来ました。
",確実に春が近づいてることを肌で感じることが出来ました 着々と整備されてる圏央道を越えるとお世話になってるボウリング場が見えて来ました。
2,"うぅ〜〜、私が途中でトイレに行きたくなってしまい、通り道にあったケンタに変更しちゃいました。
",うぅ〜〜、私が途中でトイレに行きたくなってしまい、通り道にあったケンタに変更しちゃいました。
3,"実は、１年程前にエルモサの右目の黒目の端によ〜く見ないと分からない程の小さな斑を見つけてたんです。
",実は、１年程前にエルモサの右目の黒目の端によ〜く見ないと分からない程の小さな斑を見つけてたんです。
4,"その時点で先生からはおそらく『角膜ジストロフィー』であろうとの診断をもらっていました。
",その時点で先生からはおそらく『角膜ジストロフィー』であろうとの診断をもらっていました。
5,"エルモサの場合は1年程経過して徐々にではあるんですけど、少し大きくなってきちゃいました
",エルモサの場合は1年程経過して徐々にではあるんですけど、少し大きくなってきちゃいました
6,"ただ、これまでお散歩仲間からは指摘とかされたことはないので、こちらから言わなければそんなに目立つ程ではないんですけどね。
",ただ、これまでお散歩仲間からは指摘とかされたことはないので、こちらから言わなければそんなに目立つ程ではないんですけどね。
7,"昔はヒアルロン酸の目薬なども処方されてたようですが、これが効く事はないそうです。
",昔はヒアルロン酸の目薬なども処方されてたようですが、これが効く事はないそうです。
8,"なので、エルディとのお散歩でも訪れたことがありません。 カタクリの花が５分咲きとの情報から今回コースの１つに取り入れてみました。
",なので、エルディとのお散歩でも訪れたことがありません。 カタクリの花が５分咲きとの情報から今回コースの１つに取り入れてみました。
9,"前々から走ってみたかったんだけど、いつも陸上部らしき学生さんがものすごいスピードで駆け抜けていくのを目の当たりにしてちょっとビビっておりました
",前々から走ってみたかったんだけど、いつも陸上部らしき学生さんがものすごいスピードで駆け抜けていくのを目の当たりにしてちょっとビビっておりました
10,"彼らには絶対お目にかかりたくないので、この春はこれで打ち止めになっちゃうかもね。
",彼らには絶対お目にかかりたくないので、この春はこれで打ち止めになっちゃうかもね。
11,"全然苦にならず、やっぱりこんな風に自然の中を走るのってダイスキなんだなぁ、私・・・と再確認できちゃった
",全然苦にならず、やっぱりこんな風に自然の中を走るのってダイスキなんだなぁ、私・・・と再確認できちゃった
12,"これは加齢に伴い増えていき、背骨の可動域が狭まって腰痛等の原因になることもあるらしい。
",これは加齢に伴い増えていき、背骨の可動域が狭まって腰痛等の原因になることもあるらしい。
14,"銀時にとってその十年は、長いようで短かったように思う。過ぎてみれば、の話なのだが。
",銀時にとってその十年は、長いようで短かったように思う。過ぎてみれば、の話なのだが。
15,"道を分かつまでの二十年弱は多くの時間を共有してきたが、こと最近までの十年は互いに全く知らぬ道を歩んできた。
",道を分かつまでの二十年弱は多くの時間を共有してきたが、こと最近までの十年は互いに全く知らぬ道を歩んできた。
16,"こいつは昔からそうだ。出会った当初もいつの間にか道場に上がり込んでいて、当然のように周りに馴染んでいた。人の懐に入り込むことが上手いというか、なんというか。
",こいつは昔からそうだ。出会った当初もいつの間にか道場に上がり込んでいて、当然のように周りに馴染んでいた。人の懐に入り込むことが上手いというか、なんというか。
17,"丁寧とは程遠い雑さで腰を落ち着けたので、やや桂よりに座ってしまったのは仕方のないことだった。
",丁寧とは程遠い雑さで腰を落ち着けたので、やや桂よりに座ってしまったのは仕方のないことだった。
18,"確かに少し動けば腕が当たるかもしれない微妙な距離だった。かもしれない、あくまでその程度だ。
",確かに少し動けば腕が当たるかもしれない微妙な距離だった。かもしれない、あくまでその程度だ。
19,"いや、会話は普通にするし、むしろこうやってこいつから会いに来ている。少し前の十年ぶりの再会だって桂が仕組んだことだ。避けている、という言い方は違うか。
",いや、会話は普通にするし、むしろこうやってこいつから会いに来ている。少し前の十年ぶりの再会だって桂が仕組んだことだ。避けている、という言い方は違うか。
20,"どうして、と思わないわけではないが、正直なところ心当たりはある。銀時が何かしたのかと問われれば、何もしていない。何もしなかった。それは、仕方のないことだったのだ。今思い返しても、あれ以上に最良の選択肢が分からない。
",どうして、と思わないわけではないが、正直なところ心当たりはある。銀時が何かしたのかと問われれば、何もしていない。何もしなかった。それは、仕方のないことだったのだ。今思い返しても、あれ以上に最良の選択肢が分からない。
21,"「わ、いいですね。じゃぁ僕も今日はこっちでいただいていこうかな」
",「わ、いいですね。じゃぁ僕も今日はこっちでいただいていこうかな」
22,"成人男性が一人増えたら食卓というものは大きく変わる。そんな簡単に決められてたまるか。
",成人男性が一人増えたら食卓というものは大きく変わる。そんな簡単に決められてたまるか。
23,"口から生まれたと自ら豪語するほどの銀時でさえ、桂の勢いには口より先に手が出てしまう。口で言い負かそうとしたところで通じないのは分かりきっているので、こうするのが手っ取り早いのだ。
",口から生まれたと自ら豪語するほどの銀時でさえ、桂の勢いには口より先に手が出てしまう。口で言い負かそうとしたところで通じないのは分かりきっているので、こうするのが手っ取り早いのだ。
24,"当の桂は「痛いではないか」と頬を膨らませているが、さりげなく銀時とは距離を作っている。
",当の桂は「痛いではないか」と頬を膨らませているが、さりげなく銀時とは距離を作っている。
25,"どうしようもないこととは言え、銀時としては釈然としない。接触を避けられているからといって、別段困るようなことはないのだけれど。
",どうしようもないこととは言え、銀時としては釈然としない。接触を避けられているからといって、別段困るようなことはないのだけれど。
26,"桂が過剰なほど銀時との接触を避ける原因は、恐らく十年も前のことだ。
",桂が過剰なほど銀時との接触を避ける原因は、恐らく十年も前のことだ。
