question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
"Who are Regina Willoughby and Melina in relation to Columbia City Ballet, and what is unusual about this season for them?","Regina Willoughby is a 40-year-old dancer in her final season with Columbia City Ballet and Melina is her 18-year-old daughter making her first season as a trainee; unusually, they are performing with the company at the same time.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
How old is Melina and what is her status with the company this season?,Melina is 18 years old and is starting her career with the company as a trainee in her first season.,fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Which roles do Regina and Melina perform in this month's production of The Nutcracker?,"Regina performs the Snow Queen, Melina dances in the snow corps, and both appear in the Arabian divertissement.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
"Why did Regina describe dancing with Melina as ""very surreal""?","Because Regina did not expect Melina to pursue ballet so far, making the experience of performing together unexpected and surreal.",reason,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
"When was the pair photographed post-snow scene in the same theater, according to the caption?",The pair were photographed post-snow scene in 2017 in the same theater.,fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Who was appointed to run the artistic side of New York City Ballet during Peter Martins' leave?,"A four-person interim group led by ballet master Jonathan Stafford, joined by resident choreographer Justin Peck and ballet masters Craig Hall and Rebecca Krohn, was appointed to run the artistic side.",fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
"How does the interim team's leadership experience compare to their familiarity with NYCB, and what effect is this expected to have on the dancers?","The group has limited leadership experience but is closely familiar with the company, and that familiarity is expected to help ease the dancers' transition.",comparison,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What day-to-day artistic duties will the team be responsible for?,"They will handle scheduling, casting and conducting rehearsals for the company.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why will updates continue to be provided about the team's situation?,Updates will continue because there's no word yet on the length of their tenure and the story surrounding Martins is still unfolding.,reason,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
What elements did the Pennsylvania Ballet dancers include in their Super Bowl-themed routine?,"Dressed in Eagles green, they performed a fast-paced routine featuring fouetté turns, sky-high jumps and swan arms.",fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
Who starred in Boston Ballet’s Super Bowl video and what choreography influence did they include?,"The video starred principal Paul Craig and soloist Derek Dunn, and Boston Ballet incorporated a few Balanchine tricks using props from Prodigal Son.",fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
How did Pennsylvania Ballet’s Super Bowl performance differ from Boston Ballet’s approach?,"Pennsylvania Ballet performed an athletic, team-colored routine emphasizing technical moves like fouettés and jumps, while Boston Ballet produced a staged video featuring principal dancers and Balanchine-inspired tricks with theatrical props.",comparison,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
