qa_id,question,answer,type,source_file,page_no
retail_001,GDPの品質システムとして、卸売業者等の経営陣は具体的にどのような責任を担う必要があるか。また、経営陣の役割や役職目安についても教えてください。,卸売販売業者等の経営陣は、品質システムのすべての分野において、適格性のある職員、並びに適切で十分な建物、施設及び機器の面で、十分なリソースが充てられることを確実に保証する必要があります。経営陣は2階層に分類でき、社長や流通本部長等が該当する上級経営陣は経営資源を配分します。方針を現場に伝達・理解させる経営陣は物流部長、物流センター長等が該当します。,paragraph,000467835.pdf,13
retail_002,GDP関連品質マネジメントレビューで輸送時品質を確認する場合、どのような指標でレビューを行う必要がありますか？,"輸送時品質を評価するには、次の指標でレビューを行います。
・指定温度逸脱
・破損
・誤出荷
・紛失
・納期遅延",image,000467835.pdf,18
retail_003,医薬品の受入れ場所及び発送場所におけるハード対応とソフト対応の具体的な例をそれぞれ3つずつ挙げてください。,"まず、ハード対応の例としては以下のようなものが挙げられます。 
1. 外気温の影響を低減させるドックシェルターの設置
2. 雨天時に医薬品が水濡れするのを防ぐ屋根の設置
3. 検品区域への適切な設備の設置

次に、ソフト対応の例としては以下のものがあります。
1. 受入れ、発送及び保管の区域について適切に分離
2. 時間による作業工程の区別
3. 製品の入出庫管理を維持するための手順を定義",paragraph,000467835.pdf,35
retail_004,外部の人が医療用品保管エリアに入るときは、どのような手順に従う必要がありますか。また、無関係の人が立ち入らないような防止策についても教えてください。,医薬品の貯蔵設備は、当該区域に立ち入ることができる者を特定し、立入りは権限を与えられた職員のみに限定します。外部の人が医療用品保管エリアに入るときは、原則として従業員が同行する必要があります。無関係の第三者が立ち入ることを防ぐために、出入り口にカードキーや指紋認証を使用してアクセスを制限するとともに、主な搬入・発送場所にはCCTVと侵入検知センサを設置することが望ましい。,paragraph,000467835.pdf,36
retail_005,商品の青果物を置いておく店舗保管場所について、どのようなことに気を付けながら清掃やメンテナンスを行う必要がありますか。,店舗保管場所について、ほうきやブラシで残渣やごみを取り除き、汚れがひどい場合は水で床を洗い流します。床に亀裂や塗装の欠落、水たまりになりやすい箇所がないか確認してください。,table,000604389.pdf,14
retail_006,販売した青果物商品に問題があった場合など、クレームや事故に備えて、普段からどのような対応を行うべきでしょうか。また、問題が発生した場合の対応方法について教えてください。,"万が一、商品に問題があった場合は、取引先や最終消費者に混乱や健康被害など多大な迷惑を与えてしまいます。
また、原産地などの情報を誤って伝えてしまうと法令違反の可能性があるだけではなく、信用失墜を招く恐れがあります。普段から、仕入れ伝票・販売伝票を保管し、問題が発生した場合は販売先に対してすぐに注意喚起や回収などの連絡をします。場合によっては、行政機関（保健所等）に連絡しなくてはなりません。",table,000604389.pdf,23
retail_007,品質衛生に関する苦情・事故対応記録の再発防止策に関して、記入が必要な項目は何ですか？,改善策内容、再発防止、改善内容の周知・再教育・訓練、確認月日、確認者です。,table,000604389.pdf,29
retail_008,コンビニの社会的役割に対する期待に、人口密度による違いはありますか？,人口密度による違いは見られません。,paragraph,003_02_04.pdf,3
retail_009,コンビニの深夜早朝営業について、「地域の需要を踏まえて判断すべき」と回答した利用者のうち、深夜早朝営業に好意的な意見を具体的に挙げてください。,"「地域性などを踏まえ店舗によっては必要」と考える回答者の中で、深夜時間営業について好意的な回答として、具体的には以下のような意見がありました。
・都心や国道沿いなど需要のある地域では必要だと感じる。（男性、20代以下、無職、月に1~3回程度）
・深夜に働く人が多い地域や、過疎地ではライフラインのひとつとしてコンビニが必要とされると思うので、深夜営業があったほうがいいと思う。
（女性、30代、専業主婦、月に1~3回程度）",table,003_02_04.pdf,22
retail_010,新たなコンビニ関連サービスとして、ユーザーが普及を望んでいる割合が高い取り組みと、逆に普及を望まれていない取り組みはそれぞれ何か。ユーザー調査の数値も合わせて教えてください。,消費期限の近い商品について、レジで自動的に値段が割り引かれるダイナミックプライシングを望む声が最も高く、普及すると良いと回答した人が66.5%でした。一方で、普及すると良いとは思わないと回答した人の割合が最も多かったのが、過去の購買データを元に今必要と思われる商品をおすすめしてくれるサービスで、回答者の割合が40.2%となっています。,image,003_02_04.pdf,21
