question,answer,question_type,source_chunk_id,doc_id,dataset_type,chunk_idx
What is the surprising twist about Regina Willoughby's last season with Columbia City Ballet?,"Her 18-year-old daughter Melina is beginning her first season with the company, so they are dancing together during Regina's final season.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
Which roles do Regina and Melina perform in The Nutcracker this season?,"Regina performs the Snow Queen while Melina dances in the snow corps, and both appear in the Arabian divertissement.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
When is Regina Willoughby retiring and what is Melina's status with the company?,"Regina will retire from the stage in March, and Melina, 18, is starting her career as a trainee this season.",fact,chunk_0,cc_news_0_Daughter Duo is Dancing in The,cc_news,0
In what year were the pair photographed post-snow scene in the same theater according to the second text?,They were photographed in 2017.,fact,chunk_1,cc_news_0_Daughter Duo is Dancing in The,cc_news,1
Who is leading the interim artistic team appointed by the New York City Ballet board?,"The interim team is led by ballet master and former principal dancer Jonathan Stafford, joined by Justin Peck, Craig Hall, and Rebecca Krohn.",fact,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
Why did Peter Martins request a temporary leave from NYCB and the School of American Ballet?,He requested a leave while the company conducts an internal investigation into sexual harassment accusations aimed at him.,reason,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
How might the interim team's close familiarity with NYCB help despite their limited leadership experience?,Their familiarity with the company—including recent stage experience like Krohn leaving the stage two months ago—should help ease the dancers' transition by providing continuity and institutional knowledge.,application,chunk_0,cc_news_1_New York City Ballet Announces,cc_news,0
What day-to-day responsibilities will the team handle for the company?,"They will handle the company's day-to-day artistic needs, including scheduling, casting, and conducting rehearsals.",fact,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Why will the outlet continue to provide updates about the situation involving Martins?,"Because there's no word yet on the length of the team's tenure and the story surrounding Martins is still unfolding, so updates will follow developments.",reason,chunk_1,cc_news_1_New York City Ballet Announces,cc_news,1
Which ballet company performed in Eagles green for their Super Bowl-themed routine?,The Pennsylvania Ballet dancers performed in Eagles green for their Super Bowl-themed routine.,fact,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
How did Boston Ballet incorporate Balanchine elements into their Super Bowl video?,Boston Ballet included a few Balanchine tricks and used props from Prodigal Son in a video starring principal Paul Craig and soloist Derek Dunn.,application,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What is a key difference between Pennsylvania Ballet's Super Bowl routine and Boston Ballet's video?,"Pennsylvania Ballet performed a fast-paced, athletic routine featuring fouetté turns, high jumps, and swan arms in Eagles green, whereas Boston Ballet's video showcased principal dancers performing Balanchine-inspired tricks with Prodigal Son props.",comparison,chunk_0,cc_news_2_Watch Pennsylvania Ballet & Bo,cc_news,0
What heel heights are offered in Só Dança's new shoe collection launched with Broadway Dance Center?,The collection is offered with either 2.5-inch or 3-inch heels.,fact,chunk_0,cc_news_3_dance shoes,cc_news,0
How does the centered heel design of the Só Dança shoes benefit performers?,Centering the heel under the body gives dancers increased stability and confidence by improving balance.,application,chunk_0,cc_news_3_dance shoes,cc_news,0
When did Rebecca Krohn join New York City Ballet as an apprentice?,She joined NYCB as an apprentice in the fall of 1998.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
In what year did Rebecca Krohn become a principal dancer at NYCB?,She was promoted to principal in 2012.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
What role will Krohn assume at NYCB immediately after her final performance?,She will return to the NYCB studios on Monday as a ballet master.,fact,chunk_0,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,0
With which partner did Krohn dance the Stravinsky Violin Concerto for her final show?,She danced Stravinsky Violin Concerto with Amar Ramasar.,fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
Why did Rebecca Krohn move to New York at age 14?,She moved to New York to train at the School of American Ballet.,fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
Which ballets and choreographers does Krohn cite among her favorites?,"She names Balanchine's Stravinsky Violin Concerto, Movements for Piano and Orchestra, Agon, Robbins' Dances at a Gathering, and the Balanchine black-and-white leotard ballets.",fact,chunk_1,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,1
Why does Krohn describe onstage time with friends and partners as especially memorable?,"Because sharing the stage creates an amazing sense of trust, spontaneity, and connection that she feels very strongly.",reason,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
How did Krohn's relationship with the corps de ballet change after she became a soloist and principal?,"Her relationship shifted toward wanting to be someone young dancers could look up to, so she reached out to connect and offer support and advice.",comparison,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
How did Krohn apply her experience as an older company member to help younger dancers?,"She actively reached out to younger dancers, offering guidance, support, and serving as a role model.",application,chunk_2,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,2
When did she formally address the idea of staying with the company?,"She didn't address it formally until about a year ago, when she spoke to Peter Martins.",fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
Who did she speak to about her intention to stay with the company?,She spoke to Peter (Martins) to let him know what she'd been thinking.,fact,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
Why was telling Peter about her plans described as a little nerve-wracking?,"It was nerve-wracking because she wanted to hear how he felt about her staying on, which made it a sensitive conversation.",reason,chunk_3,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,3
What is she most looking forward to in her new role?,She looks forward to nurturing the dancers and their talents and carrying the company's ballets on with the new dancers for the future.,application,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
Which ballet masters has she connected to and mentioned as influential?,She has connected to Karin von Aroldingen and Susan Hendl.,fact,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
Why does she find Karin von Aroldingen inspiring?,She finds Karin inspiring because of Karin's undying passion for the pieces.,reason,chunk_4,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,4
How does Susan Hendl's mentorship style stand out compared to others?,Susan Hendl stands out for her talent in drawing out each dancer's unique qualities and femininity.,comparison,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
What parts of her life outside of ballet does she plan to cultivate with more free time?,"She plans to spend more time enjoying museums in the city, cook more, and hopefully host more dinner parties.",fact,chunk_5,cc_news_4_Rebecca Krohn on Her Retiremen,cc_news,5
