qa_id,question,answer,type,source_file,page_no
manufacturing_001,事業者が食品パッケージに「無添加」という表示を戦略的に使用したい場合、どのようなことに注意するべきですか？,事業者が製品に「無添加」という表示を使用するとき、消費者が何が無添加なのか明確に認識できるようにするために、表示とともに何が添加されていないかを具体的に明示する必要があります。たとえば、「保存料無添加」、「色素無添加」などで表示する必要があります。,paragraph,「食品添加物の不使用表示に関するガイドライン」の10類型イラスト.pdf,2
manufacturing_002,食品表示において、『合成着色料無添加』という表示をすることの問題点を教えてください。,食品衛生法において、食品添加物には化学的合成品も天然物も含まれており、いずれも使用が認められています。また、食品表示基準における人工及び合成の用語は、令和２年７月に削除されており、人工、合成、化学および天然といった用語を用いた食品添加物の表示は適切とはいえず、実際のものより優良又は有利であると誤認させるおそれがある。,paragraph,「食品添加物の不使用表示に関するガイドライン」の10類型イラスト.pdf,3
manufacturing_003,食料品において、添加物未使用の表示と味の良さを強調することは、なぜ注意が必要なのか食品表示基準に基づいて説明してください。,添加物の未使用が味の改善に直接関連していないことを明確に説明しない限り、消費者は添加物が使用された場合よりも製品の品質が優れていると誤って理解することができます。これは、実際の製品の品質よりも優れているか有利であると誤認する危険があります。,paragraph,「食品添加物の不使用表示に関するガイドライン」の10類型イラスト.pdf,8
manufacturing_004,リユース部品のCO2削減効果について、1999年の1500ccの車両で算出した場合、ラジエーターは何kgの削減に繋がりますか？,ラジエーターは25kg（杉：約2本）となります。,image,000040369.pdf,6
manufacturing_005,自動車部品のリユースとリビルドの違いを説明してください。,リユース部品とは、使用済自動車から利用できる部品を取り外し、清掃・洗浄・目視・現車・テスターなどによる点検を行い、再使用のために商品化された部品です。これらの部品には、品質保証や基準が設けられて販売されるものもありますが、そうでないものもあります。一般社団法人日本自動車リサイクル部品協議会に加盟する部品供給団体は、品質基準や保証を統一化して販売を行っています。リビルド部品とは、使用済自動車から取り外された部品や修理の際に発生した交換部品をもとにして、内部構成部品（インナーパーツ）の磨耗や劣化を新しい部品に交換し、再組み立てと品質確認を行った商品化された部品です。リビルド部品には、製造業者や販売業者の独自保証が付いているのが特徴です。,paragraph,000040369.pdf,8
manufacturing_006,自動車のリユース部品のボンネットフードに含まれるASSY部品はいくつですか？部品名も教えてください。,ボンネットフードのASSYは、ボンネットフード、ボンネットショック、フードロックブレースの3つです。,table,000040369.pdf,36
manufacturing_007,製品の販売開始から7年経過した自動車をASSY単位でリユースしたい場合、年式はどれに該当するか。,年式7年の場合は、中年式に該当します。,paragraph,000040369.pdf,44
manufacturing_008,トランクリッドのASSYについて、高年式、中年式、低年式どれも有効活用が可能か。また、トランクリッドのASSYの有効活用方法についても教えてください。,トランクリッドのASSYは、中年式、低年式のものが有効です。スポイラー、モール、エンブレム、ロックASSY等が付いているリユース部品を手配できれば納期短縮につながります。,table,000040369.pdf,45
manufacturing_009,車のフロント事故で部品を交換する場合、ボンネットとクーラーコンデンサーにおいて新品部品とリユース部品で何円の価格メリットが見込まれるか。参考価格をもとに教えてください。,"ボンネットの新品部品は18,800円、リユース部品は11,300円であり、クーラーコンデンサーの新品部品は30,000円、リユース部品は18,000円です。ボンネットとクーラーコンデンサーを両方ともリユース部品を使用した場合、19,500円の価格メリットがあると考えられます。",table,000040369.pdf,47
manufacturing_010,げっ歯類を用いた長期がん原性試験で使用する動物種については、どのような事項を考慮する必要があるか。また、動物の数や年齢など推奨されている条件も示してください。,"げっ歯類を用いた長期がん原性試験において、種および系統の選択にあたっては、感染性疾患に対する抵抗性、寿命、自然発生腫瘍の発生頻度、既知がん原性物質に対する感受性等を考慮する必要があります。特に動物種については、次に示すような情報を考慮した上で、適切なものとすべきです。
(1) 薬理作用
(2) 反復投与毒性
(3) 代謝 3, 5
(4) トキシコキネティクス 3, 5, 6
(5) 投与経路 （例えば通常あまり用いられない経路、すなわち経皮、吸入など）
もしも 1 種を選ぶのに明らかな根拠がなければ、長期がん原性試験においてはラットを選択することが推奨され、同一週齢で、順調に発育した 6 週齢までの動物を用いることが望ましいとされます。動物の数については、雌雄各々について、1 群 50 匹以上とします。各群への動物の割り付けには、体重層別等による適切な無作為抽出法を用いてください。",paragraph,000251332.pdf,9
