doc_id,keyword,difficulty,question_template,suggested_answer_length
cc_news_0_Daughter Duo is Dancing in The,Nutcracker,advanced,Nutcrackerの応用例を挙げてください。,3-5文
cc_news_0_Daughter Duo is Dancing in The,Nutcracker,advanced,Nutcrackerの課題と解決策は何ですか？,3-5文
cc_news_0_Daughter Duo is Dancing in The,daughter,advanced,daughterの応用例を挙げてください。,3-5文
cc_news_0_Daughter Duo is Dancing in The,daughter,advanced,daughterの課題と解決策は何ですか？,3-5文
cc_news_0_Daughter Duo is Dancing in The,together,advanced,togetherの応用例を挙げてください。,3-5文
cc_news_0_Daughter Duo is Dancing in The,together,advanced,togetherの課題と解決策は何ですか？,3-5文
cc_news_1_New York City Ballet Announces,artistic,advanced,artisticの応用例を挙げてください。,3-5文
cc_news_1_New York City Ballet Announces,artistic,advanced,artisticの課題と解決策は何ですか？,3-5文
cc_news_1_New York City Ballet Announces,Martins,intermediate,Martinsはどのように使われますか？,2-3文
cc_news_1_New York City Ballet Announces,Martins,intermediate,Martinsの利点は何ですか？,2-3文
cc_news_1_New York City Ballet Announces,company,basic,companyとは何ですか？,1-2文
cc_news_1_New York City Ballet Announces,company,basic,companyについて説明してください。,1-2文
cc_news_2_Watch Pennsylvania Ballet & Bo,Pennsylvania,advanced,Pennsylvaniaの応用例を挙げてください。,3-5文
cc_news_2_Watch Pennsylvania Ballet & Bo,Pennsylvania,advanced,Pennsylvaniaの課題と解決策は何ですか？,3-5文
cc_news_2_Watch Pennsylvania Ballet & Bo,Ballet,basic,Balletとは何ですか？,1-2文
cc_news_2_Watch Pennsylvania Ballet & Bo,Ballet,basic,Balletについて説明してください。,1-2文
cc_news_2_Watch Pennsylvania Ballet & Bo,Boston,intermediate,Bostonはどのように使われますか？,2-3文
cc_news_2_Watch Pennsylvania Ballet & Bo,Boston,intermediate,Bostonの利点は何ですか？,2-3文
cc_news_3_dance shoes,collaboration,advanced,collaborationの応用例を挙げてください。,3-5文
cc_news_3_dance shoes,collaboration,advanced,collaborationの課題と解決策は何ですか？,3-5文
cc_news_3_dance shoes,audition,advanced,auditionの応用例を挙げてください。,3-5文
cc_news_3_dance shoes,audition,advanced,auditionの課題と解決策は何ですか？,3-5文
cc_news_3_dance shoes,Broadway,advanced,Broadwayの応用例を挙げてください。,3-5文
cc_news_3_dance shoes,Broadway,advanced,Broadwayの課題と解決策は何ですか？,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Balanchine,advanced,Balanchineの応用例を挙げてください。,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Balanchine,advanced,Balanchineの課題と解決策は何ですか？,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Stravinsky,advanced,Stravinskyの応用例を挙げてください。,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Stravinsky,advanced,Stravinskyの課題と解決策は何ですか？,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,principal,advanced,principalの応用例を挙げてください。,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,principal,advanced,principalの課題と解決策は何ですか？,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Concerto,advanced,Concertoの応用例を挙げてください。,3-5文
cc_news_4_Rebecca Krohn on Her Retiremen,Concerto,advanced,Concertoの課題と解決策は何ですか？,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,Pennsylvania,advanced,Pennsylvaniaの応用例を挙げてください。,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,Pennsylvania,advanced,Pennsylvaniaの課題と解決策は何ですか？,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,artistic,advanced,artisticの応用例を挙げてください。,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,artistic,advanced,artisticの課題と解決策は何ですか？,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,director,advanced,directorの応用例を挙げてください。,3-5文
cc_news_5_Roy Kaiser to Become Nevada Ba,director,advanced,directorの課題と解決策は何ですか？,3-5文
cc_news_6_What It's Like Inside NYCB Aft,Balanchine,advanced,Balanchineの応用例を挙げてください。,3-5文
cc_news_6_What It's Like Inside NYCB Aft,Balanchine,advanced,Balanchineの課題と解決策は何ですか？,3-5文
