qa_id,question,answer,type,source_file,page_no
public_001,保健センターと保健所の違いを教えてください。,保健センターは市町村が設置し、住民が利用頻度の高い母子手帳の交付、乳幼児健診、予防接種、健康診査、がん検診などの健康づくりに関するサービスを提供しています。これに対し、病院は病気やけがをした人を診察し、治療する施設であり、24時間体制で医師や看護師が診療にあたり、高度な医療機器を備えたより専門的な治療を提供します。保健センターは住民の健康維持と予防を目的としており、病院は治療と医療ケアが主な目的となります。,image,000761091.pdf,12
public_002,2020年の新型コロナウイルス流行時、感染者が発生した際に保健所は他の機関と連携してどのような対応を行なっていましたか？,保健所は主に疫学調査を担当し、感染経路を特定し、接触者を追跡します。その結果、保健所は感染者を隔離し、同時に施設側はその状況を関連機関や医療スタッフに通知し、利用者とその家族にも状況を伝えます。感染者の隔離は保健所の指示に従って行われ、その後、入院が必要な場合はbo施設と協力して入院病院と移送手順を決定します。,paragraph,000761091.pdf,21
public_003,デジタル手続法に基づいて、行政のデジタル化を推進するために必要となる基本原則と施策について、具体的な例を挙げて説明してください。,デジタル手続法に基づく基本原則は、情報通信技術の活用による行政手続の利便性向上と行政運営の効率化です。具体例として、行政手続のオンライン化を原則とし、添付書類の撤廃やデジタル・デバイドの是正を図っています。また、民間手続における情報通信技術の活用も促進しています。,image,000857916.pdf,6
public_004,自治体がオンライン化を進める際にBPR(業務プロセス再構築)と併せて取り組む重要性を説明し、具体的な施策例を3つ挙げてください。また、法令やガイドラインに基づいた具体的な措置についても言及してください。,"オンライン化を進める際にBPR(業務プロセス再構築)と併せて取り組むことが重要な理由は、単に既存の手続きをデジタルに置き換えるだけでは、根本的な効率化や利便性向上が達成されないためです。以下の3つの施策は具体的な例です。
1. 書面規制の見直し: 従来紙で行っていた申請や報告を、電子文書やシステムで処理可能にする。
2. 押印規制の撤廃: 書類に対する物理的な押印を不要とし、電子署名や認証システムで代替する。
3. 対面規制の見直し: 窓口での対面手続きをオンラインで完結できるようにし、必要な場合のビデオ会議システムの導入。
さらに、『デジタル社会の形成を図るための関係法律の整備に関する法律(令和3年法律第37号)』では48の法律を改正し、押印を求める各種手続きについてその押印を不要としました。そして、内閣府が発出した『地方公共団体における押印見直しマニュアル』に示された推進体制や作業手順を参考にすることも有効です。",paragraph,000857916.pdf,11
public_005,地方自治体が「本人確認のオンライン化」「手数料納付のオンライン化」「添付書類の省略」を同時に推進するためには、どのように取り組む必要があるか。,地方自治体が「本人確認のオンライン化」「手数料納付のオンライン化」「添付書類の省略」を同時に推進するために直面する課題としては、システムの導入と運用に係るコスト、既存の業務フローの見直しによる一時的な作業負荷の増加、そしてセキュリティの確保が挙げられます。これに対する対策としては、国が定めたガイドラインに従い、システム全体のセキュリティを確保し、行政機関間の情報連携を強化することで効率化を図ることが必要です。また、インターネットバンキングなど既存のオンライン決済手段を活用し、住民がオンラインで簡単に手続きを完了できるようにすることが求められます。,paragraph,000857916.pdf,12
public_006,住民基本台帳法の改正に伴い、マイナンバーカード所持者がマイナポータルからオンラインで転出届と転入予約を行う際に、転入地市区町村はどのような情報を基に事前準備を行うのか説明してください。,マイナンバーカード所持者がマイナポータルからオンラインで転出届と転入予約を行う際、転入地市区町村は通知された転出証明書情報（氏名、生年月日、続柄、個人番号、転出先、転出の予定年月日など）を基に事前準備を行います。この情報に基づいて市町村は、転出および転入手続の迅速な処理が可能となり、窓口での混雑が緩和されます。また、手続き当日に処理すべき事務負担が軽減され、市町村の事務効率が向上します。,image,000857916.pdf,17
public_007,方式Aといわれる方法で、申請データを申請管理システムに取り込み、既存住記システム等の改修を行い、さらに基幹システムと接続してエンドトゥエンドのオンライン接続を実現することを検討しています。補助金の対象になりますか？,補助金対象です。,table,000857916.pdf,18
public_008,マイナンバー利用事務系の申請管理システムについて、番号紐付情報はどのように連携する必要がありますか？,番号を紐づける方法は2つあります。1つは、API連携を行う方法です。「地方公共団体情報システム共通機能標準仕様書」に規定されたAPI連携を実装します。もう1つは、ファイル連携を行う方法です。過渡的な対応として、番号紐付け情報のファイル連携を行い、申請管理システムが番号紐付け情報を保持するようにします。,image,000857916.pdf,21
public_009,自治体のオンライン化の取り組みについて、関係規定等の検討や整備のステップではどのようなことを実施するか教えてください。,"関係規定等の検討や整備のステップでは、次の二つの作業を行います。
・三層の対策の見直しを踏まえ、情報セキュリティポリシーを適切に見直し、変更する。
・申請様式が規則等で定められている場合に、必要に応じて規則等の改正を実施する。",table,000857916.pdf,28
public_010,マイナポータル申請管理とは、どのような仕組みか。その仕組みが作られた背景も含め、具体的に説明してください。,住民がマイナポータル（ぴったりサービス）を利用し、インターネット経由で行われた行政サービスに関する電子データを、地方公共団体が LGWAN を通じてダウンロードなどができるサービスを「マイナポータル申請管理」といいます。 令和３年度に、マイナポータルにおいて全自治体との接続環境が整備され、既存の省庁連携基盤を活用することで LGWAN経由でマイナポータルが全自治体と接続できるようになるため、全ての地方公共団体が LGWAN-ASP サービスを個別に調達することなくオンライン申請の受付が可能となったことを背景に、整備されました。,paragraph,000857916.pdf,34
