doc_id,total_chunks,covered_chunks,coverage_percentage,average_similarity
cc_news_0_Daughter_Duo_is_Dancing_in_The,1,1,100.0,0.7448929667722061
cc_news_1_New_York_City_Ballet_Announces,1,0,0.0,0.6446446840565695
cc_news_2_Watch_Pennsylvania_Ballet_&_Bo,1,1,100.0,0.7857606806265476
cc_news_3_dance_shoes,1,0,0.0,0.6623328665803959
cc_news_4_Rebecca_Krohn_on_Her_Retiremen,1,0,0.0,0.5768554784539064
cc_news_5_Roy_Kaiser_to_Become_Nevada_Ba,1,0,0.0,0.6325436882201421
cc_news_6_What_It's_Like_Inside_NYCB_Aft,1,0,0.0,0.5473250600723055
cc_news_7_Nutcracker_Secrets_and_Surpris,1,0,0.0,0.6132217161842264
cc_news_8_Inside_the_Beijing_Dance_Acade,1,0,0.0,0.6779999614527563
cc_news_9_Isabella_Boylston_and_James_Wh,1,1,100.0,0.7641241094911619
cc_news_10_Ballet_Performances_This_Week,1,0,0.0,0.657488752898613
"cc_news_11_Guillaume_Côté_on_NBoC's_""Fram",1,1,100.0,0.7019719970565134
"cc_news_12_Broadway's_""Carousel""_Stars_So",1,0,0.0,0.650120979805806
"cc_news_13_The_Joffrey_Presents_Ekman's_""",1,0,0.0,0.5329814733869186
cc_news_14_Wonderfully_Simple_Graphic_Des,1,1,100.0,0.8948632452093527
cc_news_15_Bay_Community_News,1,0,0.0,0.5041128793019959
cc_news_16_25_Year_Old_Molests_Child_Unde,1,0,0.0,0.6010426036112552
cc_news_17_How_to_install_the_Trac_projec,1,0,0.0,0.6540725294702203
cc_news_18_New_Amazon_class_certifies_clo,1,0,0.0,0.5952560146543242
cc_news_19_How_to_set_up_a_Gitstorage_app,1,0,0.0,0.4488728322519752
cc_news_20_Qualcomm_XR1_chip_could_bring_,1,1,100.0,0.8400647140254354
cc_news_21_Why_are_companies_moving_to_th,1,0,0.0,0.6261390314126742
cc_news_22_How_to_request_your_personal_d,1,0,0.0,0.5684426482265974
cc_news_23_5_data_protection_policies_you,1,1,100.0,0.7515989387430747
cc_news_24_Why_a_cloud-friendly_Java_coul,1,1,100.0,0.7249840348655698
cc_news_25_Report:_32%_of_IT_pros_plan_to,1,1,100.0,0.721151767928712
cc_news_26_How_to_protect_your_company_fr,1,0,0.0,0.5306173006041459
cc_news_27_HTC_VIVE_announces_price_for_t,1,1,100.0,0.7053231165442488
cc_news_28_Are_smart_locks_secure?_AV-TES,1,0,0.0,0.6468137540202362
cc_news_29_Top_5:_Things_AI_might_actuall,1,1,100.0,0.7464169972273632
cc_news_30_How_5G_will_power_innovations_,1,0,0.0,0.49460927290963935
cc_news_31_Five_programming_languages_wit,1,1,100.0,0.7177841869448097
cc_news_32_How_the_blockchain_could_help_,1,0,0.0,0.5499318503111184
cc_news_33_Windows_10_wishlist:_Five_grip,1,0,0.0,0.5016025266181824
cc_news_34_The_top_5_iPhone_X_gestures_ev,1,0,0.0,0.4212541298498512
cc_news_35_HPE_and_NASA_experiment_with_',1,1,100.0,0.8102350404776038
