qa_id,question,answer,type,source_file,page_no
it_001,データの共通理解がなされた状態とは、どのような状態を指すか？,データの共通理解がなされた状態とは、同じ表記をされたデータを見た複数の人が、おおむね共通したイメージを頭の中に浮かべる状態を指します。,image,000096537.pdf,8
it_002,データ交換時のみ共通の語彙を使うパターンでは、組織Aと組織B間のデータ交換はどのように行われれますか。,組織Aと組織B間でデータを外に出すときと受け取るとき、つまりデータ交換時のみ共通の語彙を用いる場合、組織Aと組織Bの独自のデータ項目名を共通語彙のデータ項目名にあらかじめマッピングします。,table,000096537.pdf,19
it_003,新規語彙体系の確立により効果を得ている事例を具体的に挙げてください。また、情報のXML化を行った経緯を簡単に説明してください。,新規語彙体系の確立により効果を得ている事例として、医療用医薬品添付文書記載要領改正に伴う添付文書情報の XML 化対応のケースがあります。1997年に定められた旧記載要領では、XML の前身のデータ記述記法であるSGML記法が使われていましたが、新記載要領では2017年にXML記法に変更されました。新記載要領は、医療の進歩や高齢化、IT技術の進展などに対応するために改訂されました。XML化の検討過程では、添付文書に必要なデータ項目、値、データ構造について議論を重ね、最終的にXML Schema（語彙）を策定しました。この変更の目的は、医薬品添付文書のデータ構造を標準化し、効率的な情報提供と管理を実現することです。,paragraph,000096537.pdf,27
it_004,語彙の作成における名寄せとは何か。また、用語辞書や語彙との関連性についても詳しく教えてください。,データの共通理解の土台となる「語彙」を作るために、既存のデータを分析し、同一概念に対応する様々な表記を同義語として整理する作業を名寄せといいます。名寄せの作業により出来上がる同義語リストを「用語辞書」と呼びます。用語辞書には、用語名、意味、略語(複数可)、同義語(複数可)が含まれ、名寄せされたデータ項目に対して相互の関連情報の付加などを施すことにより「語彙」としてのデータ項目の構造が定義されます。また、用語辞書を整理する際に、用語が表す概念に対して上位概念・下位概念の関係などを体系的に定義する場合もあります。,paragraph,000096537.pdf,32
it_005,用語辞書および語彙を作成するための工程を具体的に示してください。,既存データの分析として、ますデータ項目の用語を抽出し整理し、データ項目の用語辞書を作成します。続いて、データ項目の値を抽出して整理し、値の用語辞書（値リスト）を作成します。そして、データ項目用語の表記と相互の関連性を定義し、用語が取りうる値リストを定め、語彙を作成します。,image,000096537.pdf,33
it_006,クラウドサービスにおけるIAMとはどのようなサービスですか。推奨されるIAMの設定方法についても教えてください。,"IAMはID とアクセス管理を指します。「誰が」「どのリソースに対し」「どのような操作ができるか」を定義し、アクセス制御を実現するために提供されているサービスです。
管理者はクラウド全体のセキュリティに関与するため、管理者アカウントとユーザアカウントを分離し、管理者アカウントには多要素認証を必須にする等の設定を確実に行うほか、組織の要件に応じてユーザアカウントの IP アドレス制限など各種設定を確実に行う必要がある。特にゲストユーザーについては、不要な情報公開を避けるため、必要最小限の権限とする。また、暗号化キーは統合管理サービスで集中管理することを推奨する。なお、管理者が ID とアカウントを網羅的に把握する仕組み（申請ベースで中央での払い出し、CASB による新規アカウントの個別発行不可等）を設ける必要があります。",table,000843318.pdf,56
it_007,クラウドサービス事業者は、クラウドサービス設定における不備を低減、防止するために、どのような対策が求められるか。具体的に説明してください。,クラウドサービス事業者は、「クラウドサービス提供におけるガバナンスの確保」「設定診断等の支援ツール提供に対する組織的取組」「クラウドに関する人材の組織的育成」が求められる。「クラウドサービス提供におけるガバナンスの確保」は、設定不備の抑止・防止に関する組織全体での基本的な方針、役割、責任等を定めた文書（例えばクラウドサービス提供方針等）に設定不備対策を追記し、組織長の承認及び署名等を経て、組織内及び関係する組織に配布することが必要となる。「設定診断等の支援ツール提供に対する組織的取組」では、クラウドサービス利用の高度化・複雑化に伴い、設定が必要な項目が量的な増加や組合せの整合性を取ることなどの複雑化が課題となる。クラウドサービス利用者の立場に立った支援ツール等の提供について積極的に取り組むことを検討し、組織として予算化、計画化することが望ましい。「クラウドに関する人材の組織的育成」では、クラウドサービス提供におけるシステム動作環境の設定に関する知識やノウハウの向上を実現するために、組織的にクラウド資格等の取得やセミナー受講等について計画し、文書化すること。また、クラウドに関する人材を組織的に育成するための基盤として、クラウドに関する人材を適切に評価できる枠組みを構築することが重要だ。,table,000843318.pdf,83
it_008,通信インフラの高度化とデータ流通がどのように発展してきたのか、これまでの技術の高度化の歴史や特徴について説明してください。,通信インフラの高度化とデータ流通の進展は複数のステージを経て進化しています。まず、インターネットの普及初期(1990年代半ばから2000年代半ば)は「Web1.0」と称され、ホームページの閲覧や電子メールでのメッセージ送信など、片方向の情報・データの流通が主でした。この時期は固定通信ネットワークとして従来のADSLからFTTH(Fiber To The Home)への乗り換えが進展し、2008年には FTTHが総契約数でDSLを抜きました。一方、移動通信ネットワークは1979年の第1世代から始まり、約10年周期で更新され、2020年には第5世代サービスが開始されました。次のステージとして2005年前後に登場したSNSや動画投稿サイト、それに続くスマートフォンの急速な普及により、情報の双方向流通が進展し、これが「Web2.0」と呼ばれています。,paragraph,01point.pdf,2
it_009,日本企業のパーソナルデータ活用率について、諸外国と比べてどのような傾向があるか。,企業におけるパーソナルデータの活用状況について、活用していると回答した企業は日本では52.8%でした。一方、米国では活用している企業の割合は81.9%、ドイツ77.0%、中国92.6%と、日本に比べて大幅に活用が進んでいます。,paragraph,01point.pdf,3
it_010,パーソナルデータの提供時にユーザがどのようなことを重視しているか、日本と米国の違いについて説明してください。,日本では、「提供先が十分なセキュリティを担保すること」が最も多く、次に「提供されたデータの利用目的」「適切なデータの取り扱い方法」が次いで多い傾向があります。米国も「提供先が十分なセキュリティを担保すること」が最も多いものの日本よりもその割合が低く、次に多いのが「データの提供に対する適切な同意の取得」「適切なデータの取り扱い方法」となっています。,image,01point.pdf,5
